Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
5,0.88,0.53,NO,N/A,22.92%,70.46%,188.0%,50.91%,100.51,3.1335,1000.0,0.156,0.834,0.791,-0.01
6,0.93,0.71,NO,N/A,21.81%,68.37%,188.03%,47.24%,97.57,2.5805,1000.0,0.142,0.776,0.809,0.145
7,0.89,0.64,NO,N/A,19.76%,67.76%,188.23%,46.87%,98.03,1.5723,1000.0,0.139,0.79,0.813,0.114
8,0.8,0.27,NO,N/A,19.06%,65.84%,187.47%,45.22%,97.92,2.0874,1000.0,0.132,0.784,0.823,0.131
9,0.8,0.34,NO,N/A,17.84%,63.95%,185.53%,43.14%,97.4,1.0302,1000.0,0.121,0.764,0.837,0.157
10,0.84,0.39,NO,N/A,19.17%,62.31%,185.1%,41.78%,97.69,0.5033,3.2773,0.115,0.768,0.844,0.164
11*,0.95,0.69,YES,Most Stab Sigs,11.28%,59.98%,187.63%,39.67%,97.86,0.4888,3.0203,0.107,0.784,0.855,0.138
12,0.84,0.06,NO,N/A,10.82%,59.12%,184.73%,39.13%,97.63,0.4832,3.1619,0.104,0.766,0.859,0.167
13,0.8,0.05,NO,N/A,9.69%,59.04%,184.6%,39.25%,97.8,0.4802,3.1811,0.104,0.768,0.86,0.165
14,0.76,-0.48,NO,N/A,8.94%,58.58%,191.07%,38.69%,97.92,0.4745,3.462,0.1,0.795,0.865,0.107
15,0.7,-0.02,NO,N/A,9.97%,58.91%,191.47%,38.32%,98.44,0.4755,3.654,0.098,0.817,0.868,0.077
16,0.68,-0.43,NO,N/A,9.21%,56.79%,169.6%,37.02%,92.95,0.4661,2.6814,0.093,0.629,0.874,0.28
17,0.68,-0.24,NO,N/A,9.48%,55.8%,190.13%,36.62%,97.74,0.968,1000.0,0.091,0.787,0.878,0.122
18,0.67,-0.2,NO,N/A,9.06%,55.1%,167.78%,35.63%,90.92,0.457,2.7311,0.088,0.583,0.882,0.346
19,0.68,-0.15,NO,N/A,7.77%,53.02%,178.77%,34.84%,94.51,0.4411,5.0303,0.084,0.673,0.888,0.218
20,0.68,-0.12,NO,N/A,7.26%,52.35%,174.35%,34.09%,93.16,0.4296,2.5997,0.081,0.636,0.89,0.273
21,0.68,-0.08,NO,N/A,6.69%,52.2%,160.7%,34.08%,91.69,0.4259,3.6975,0.08,0.593,0.893,0.335
22,0.67,-0.01,NO,N/A,7.4%,51.02%,160.1%,33.98%,89.94,0.4188,3.7353,0.078,0.563,0.896,0.371
23,0.72,-0.03,NO,N/A,5.48%,49.95%,164.3%,33.08%,89.26,0.4058,3.0467,0.075,0.545,0.9,0.406
24,0.68,0.12,NO,N/A,5.33%,48.25%,190.05%,31.3%,98.08,0.3986,3.7327,0.071,0.799,0.906,0.145
25,0.67,0.01,NO,N/A,5.35%,49.1%,165.4%,32.29%,90.16,0.3941,4.2045,0.072,0.553,0.904,0.418
