dataset,bootstrap,lc,model,pathway,recall,count
HRD,multinomial,0.0,SNMF,HR,0.8181818181818182,9/11
HRD,multinomial,0.0,SNMF,MMR,0.75,3/4
HRD,multinomial,0.0,SNMF,BER,0.0,0/0
HRD,multinomial,,LR_cosmic,HR,0.6363636363636364,7/11
HRD,multinomial,,LR_cosmic,MMR,1.0,4/4
HRD,multinomial,,LR_cosmic,BER,0.0,0/0
HRD,multinomial,1.0,SNMF,HR,0.9090909090909091,10/11
HRD,multinomial,1.0,SNMF,MMR,0.75,3/4
HRD,multinomial,1.0,SNMF,BER,0.0,0/0
HRD,dirichlet,0.0,SNMF,HR,0.7272727272727273,8/11
HRD,dirichlet,0.0,SNMF,MMR,0.75,3/4
HRD,dirichlet,0.0,SNMF,BER,0.0,0/0
HRD,dirichlet,,LR_cosmic,HR,0.8181818181818182,9/11
HRD,dirichlet,,LR_cosmic,MMR,1.0,4/4
HRD,dirichlet,,LR_cosmic,BER,0.0,0/0
HRD,dirichlet,1.0,SNMF,HR,0.9090909090909091,10/11
HRD,dirichlet,1.0,SNMF,MMR,0.75,3/4
HRD,dirichlet,1.0,SNMF,BER,0.0,0/0
MMRD,multinomial,0.0,SNMF,HR,0.0,0/10
MMRD,multinomial,0.0,SNMF,MMR,1.0,37/37
MMRD,multinomial,0.0,SNMF,BER,0.0,0/2
MMRD,multinomial,,LR_cosmic,HR,0.0,0/10
MMRD,multinomial,,LR_cosmic,MMR,0.972972972972973,36/37
MMRD,multinomial,,LR_cosmic,BER,0.0,0/2
MMRD,multinomial,1.0,SNMF,HR,0.0,0/10
MMRD,multinomial,1.0,SNMF,MMR,1.0,37/37
MMRD,multinomial,1.0,SNMF,BER,0.0,0/2
MMRD,dirichlet,0.0,SNMF,HR,0.0,0/10
MMRD,dirichlet,0.0,SNMF,MMR,1.0,37/37
MMRD,dirichlet,0.0,SNMF,BER,0.0,0/2
MMRD,dirichlet,,LR_cosmic,HR,0.1,1/10
MMRD,dirichlet,,LR_cosmic,MMR,0.972972972972973,36/37
MMRD,dirichlet,,LR_cosmic,BER,0.0,0/2
MMRD,dirichlet,1.0,SNMF,HR,0.0,0/10
MMRD,dirichlet,1.0,SNMF,MMR,1.0,37/37
MMRD,dirichlet,1.0,SNMF,BER,0.0,0/2
